Status,Hostname,Type,Internal IP,Windows Update Server,Site,OS,Patch Status,AV Status,Last Seen,Last Reboot,Model,Groups
Offline,SRLA-LT029,Laptop,192.168.0.173,https://patching.stspartner.com:8531,"Sanders Roberts LLP ",Microsoft Windows 11 Pro 10.0.22631,Fully Patched,Running And Up To Date,2024-12-21T01:01:44Z,2024-12-18T01:50:49Z,20TD003KUS,
Offline,SRLA-LT031,Laptop,10.10.20.179,,"Sanders Roberts LLP ",Microsoft Windows 11 Pro 10.0.22631,Approved Pending,Running And Up To Date,2024-11-27T18:03:40Z,2024-11-27T17:11:04Z,20TA002CUS,
Offline,SRLA-LT031,Laptop,10.10.20.179,,"Sanders Roberts LLP ",Microsoft Windows 11 Pro 10.0.26100,Fully Patched,Running And Up To Date,2025-01-22T02:39:33Z,2025-01-15T21:40:44Z,20TA002CUS,
Offline,SRLA-LT039,Laptop,192.168.1.247,https://patching.stspartner.com:8531,"Sanders Roberts LLP ",Microsoft Windows 11 Pro 10.0.22631,Approved Pending,Running And Up To Date,2024-12-09T15:49:19Z,2024-12-09T15:46:24Z,20TA0025US,
Offline,SRLA-LT044,Laptop,10.0.0.61,https://patching.stspartner.com:8531,"Sanders Roberts LLP ",Microsoft Windows 11 Pro 10.0.22631,Reboot Required,Running And Up To Date,2025-01-22T00:56:49Z,2025-01-14T15:06:26Z,82BH,
Offline,SRLA-LT046,Laptop,192.168.134.138,https://patching.stspartner.com:8531,"Sanders Roberts LLP ",Microsoft Windows 11 Pro 10.0.22631,Fully Patched,Running And Up To Date,2024-12-03T04:55:51Z,2024-12-02T18:48:40Z,20TD003KUS,
Offline,SRLA-LT053,Laptop,192.168.0.108,,"Sanders Roberts LLP ",Microsoft Windows 11 Pro 10.0.22631,Fully Patched,Running And Up To Date,2025-01-22T01:29:57Z,2025-01-22T01:26:41Z,20TD001NUS,
Offline,SRLA-LT054,Laptop,192.168.12.105,https://patching.stspartner.com:8531,"Sanders Roberts LLP ",Microsoft Windows 11 Pro 10.0.22631,Fully Patched,Running And Up To Date,2025-01-22T04:40:36Z,2025-01-17T16:11:54Z,20TA002CUS,
Offline,SRLA-LT055,Laptop,192.168.1.211,,"Sanders Roberts LLP ",Microsoft Windows 11 Business 10.0.26100,Fully Patched,Running And Up To Date,2025-01-20T00:55:37Z,2025-01-19T21:35:36Z,20R5A000US,
Online,SRLA-LT061,Laptop,192.168.1.206,https://patching.stspartner.com:8531,"Sanders Roberts LLP ",Microsoft Windows 11 Pro 10.0.22631,Fully Patched,Running And Up To Date,2025-01-22T06:37:44Z,2025-01-22T00:05:03Z,82BG,
Offline,SRLA-LT074,Laptop,10.10.20.250,,"Sanders Roberts LLP ",Microsoft Windows 11 Home 10.0.26100,Fully Patched,Running And Up To Date,2024-12-07T01:03:17Z,2024-12-07T00:42:24Z,20R5A000US,
Offline,SRLA-LT076,Laptop,10.10.20.189,https://patching.stspartner.com:8531,"Sanders Roberts LLP ",Microsoft Windows 11 Pro 10.0.22631,Fully Patched,Running And Up To Date,2025-01-22T02:01:36Z,2025-01-16T23:21:30Z,20TA002CUS,
Offline,SRLA-LT077,Laptop,192.168.1.106,https://patching.stspartner.com:8531,"Sanders Roberts LLP ",Microsoft Windows 11 Pro 10.0.22631,Fully Patched,Running And Up To Date,2025-01-22T05:37:43Z,2025-01-16T19:46:05Z,20TA002CUS,
Offline,SRLA-LT080,Laptop,192.168.1.244,https://patching.stspartner.com:8531,"Sanders Roberts LLP ",Microsoft Windows 11 Pro 10.0.22631,Fully Patched,Running And Up To Date,2025-01-22T06:29:41Z,2025-01-16T01:42:40Z,20R5A000US,
Offline,SRLA-LT082,Laptop,192.168.0.98,,"Sanders Roberts LLP ",Microsoft Windows 10 Pro 10.0.19045,Fully Patched,Running And Up To Date,2024-12-31T20:00:58Z,2024-12-24T21:56:30Z,20TA002CUS,
Offline,SRLA-LT083,Laptop,192.168.1.252,https://patching.stspartner.com:8531,"Sanders Roberts LLP ",Microsoft Windows 11 Pro 10.0.22631,Reboot Required,Running And Up To Date,2025-01-22T02:06:52Z,2025-01-21T22:12:03Z,20Y70037US,
Online,SRLA-LT085,Laptop,192.168.12.158,https://patching.stspartner.com:8531,"Sanders Roberts LLP ",Microsoft Windows 11 Pro 10.0.22631,Install Error,Running And Up To Date,2025-01-22T06:37:44Z,2025-01-21T17:01:35Z,20Y70037US,
Offline,SRLA-LT086,Laptop,192.168.4.143,,"Sanders Roberts LLP ",Microsoft Windows 11 Pro 10.0.26100,Fully Patched,Running And Up To Date,2025-01-22T03:46:49Z,2025-01-21T19:41:25Z,20Y70037US,
Offline,SRLA-LT087,Laptop,192.168.1.225,https://patching.stspartner.com:8531,"Sanders Roberts LLP ",Microsoft Windows 11 Pro 10.0.22631,Fully Patched,Running And Up To Date,2025-01-22T00:46:16Z,2025-01-21T16:27:47Z,20Y70037US,
Offline,SRLA-LT088,Laptop,10.10.20.212,https://patching.stspartner.com:8531,"Sanders Roberts LLP ",Microsoft Windows 11 Pro 10.0.22631,Fully Patched,Running And Up To Date,2024-12-11T20:46:50Z,2024-12-11T20:11:37Z,20Y70037US,
Offline,SRLA-LT095,Laptop,192.168.1.100,,"Sanders Roberts LLP ",Microsoft Windows 11 Pro 10.0.26100,Fully Patched,Running And Up To Date,2025-01-22T02:12:24Z,2025-01-22T00:48:00Z,20Y70037US,
Online,SRLA-LT096,Laptop,192.168.1.252,https://patching.stspartner.com:8531,"Sanders Roberts LLP ",Microsoft Windows 11 Pro 10.0.22631,Fully Patched,Running And Up To Date,2025-01-22T06:37:44Z,2025-01-16T03:19:59Z,20Y70037US,
Online,SRLA-LT097,Laptop,192.168.50.194,https://patching.stspartner.com:8531,"Sanders Roberts LLP ",Microsoft Windows 11 Pro 10.0.22631,Fully Patched,Running And Up To Date,2025-01-22T06:37:44Z,2025-01-17T19:13:03Z,20Y70037US,
Offline,SRLA-LT098,Laptop,10.10.20.180,https://patching.stspartner.com:8531,"Sanders Roberts LLP ",Microsoft Windows 11 Pro 10.0.22631,Fully Patched,Running And Up To Date,2025-01-22T03:08:11Z,2025-01-22T00:34:23Z,21JNCTO1WW,
Offline,SRLA-LT100,Laptop,10.10.20.160,https://patching.stspartner.com:8531,"Sanders Roberts LLP ",Microsoft Windows 11 Pro 10.0.22631,Fully Patched,Running And Up To Date,2025-01-22T02:15:33Z,2025-01-16T21:12:28Z,21JNCTO1WW,
Offline,SRLA-LT101,Laptop,10.10.20.144,https://patching.stspartner.com:8531,"Sanders Roberts LLP ",Microsoft Windows 11 Pro 10.0.22631,Fully Patched,Running And Up To Date,2025-01-22T02:16:22Z,2025-01-21T22:26:54Z,21JNCTO1WW,
Online,SRLA-LT103,Laptop,192.168.68.52,https://patching.stspartner.com:8531,"Sanders Roberts LLP ",Microsoft Windows 11 Pro 10.0.22631,Fully Patched,Running And Up To Date,2025-01-22T06:37:44Z,2025-01-17T02:16:17Z,21JNCTO1WW,
Offline,SRLA-LT104,Laptop,10.10.20.161,https://patching.stspartner.com:8531,"Sanders Roberts LLP ",Microsoft Windows 11 Pro 10.0.22631,Fully Patched,Running And Up To Date,2025-01-22T01:12:19Z,2025-01-17T19:17:11Z,21JNCTO1WW,
Offline,SRLA-LT105,Laptop,192.168.254.210,https://patching.stspartner.com:8531,"Sanders Roberts LLP ",Microsoft Windows 11 Pro 10.0.22631,Fully Patched,Running And Up To Date,2025-01-12T16:40:45Z,2025-01-08T20:55:54Z,21JNCTO1WW,
Offline,SRLA-LT106,Laptop,10.0.0.40,,"Sanders Roberts LLP ",Microsoft Windows 11 Pro 10.0.22631,Fully Patched,Running And Up To Date,2024-12-01T22:07:06Z,2024-11-28T08:41:07Z,21JNCTO1WW,
Offline,SRLA-LT107,Laptop,192.168.1.174,,"Sanders Roberts LLP ",Microsoft Windows 11 Pro 10.0.22631,Reboot Required,Running And Up To Date,2025-01-08T00:51:10Z,2024-12-11T05:12:56Z,21JNCTO1WW,
Offline,SRLA-LT108,Laptop,100.123.206.23,https://patching.stspartner.com:8531,"Sanders Roberts LLP ",Microsoft Windows 11 Pro 10.0.22631,Fully Patched,Running And Up To Date,2025-01-22T00:57:31Z,2025-01-16T15:07:15Z,21JN005AUS,
Offline,SRLA-LT109,Laptop,192.168.0.101,https://patching.stspartner.com:8531,"Sanders Roberts LLP ",Microsoft Windows 11 Pro 10.0.22631,Fully Patched,Running And Up To Date,2025-01-22T01:55:44Z,2025-01-22T01:39:25Z,21JN005AUS,
